2026-09-14 13:58:35 | INFO    | apexnet.train | lstm     epoch 08 loss=0.5544 acc=0.711 f1=0.603 auc=0.798 (n_eval_pairs=993)
2026-09-14 13:58:35 | INFO    | apexnet.train | lstm     epoch 09 loss=0.5504 acc=0.712 f1=0.588 auc=0.802 (n_eval_pairs=993)
2026-09-14 13:58:35 | INFO    | apexnet.train | lstm     epoch 10 loss=0.5387 acc=0.701 f1=0.586 auc=0.786 (n_eval_pairs=993)
2026-09-14 13:58:35 | INFO    | apexnet.train | training cnn_lstm...
2026-09-14 13:58:36 | INFO    | apexnet.train | cnn_lstm epoch 01 loss=0.6839 acc=0.570 f1=0.000 auc=0.683 (n_eval_pairs=993)
2026-09-14 13:58:36 | INFO    | apexnet.train | cnn_lstm epoch 02 loss=0.6593 acc=0.636 f1=0.539 auc=0.671 (n_eval_pairs=993)
2026-09-14 13:58:37 | INFO    | apexnet.train | cnn_lstm epoch 03 loss=0.6324 acc=0.624 f1=0.537 auc=0.676 (n_eval_pairs=993)
2026-09-14 13:58:37 | INFO    | apexnet.train | cnn_lstm epoch 04 loss=0.6158 acc=0.655 f1=0.533 auc=0.716 (n_eval_pairs=993)
2026-09-14 13:58:37 | INFO    | apexnet.train | cnn_lstm epoch 05 loss=0.5829 acc=0.689 f1=0.548 auc=0.773 (n_eval_pairs=993)
2026-09-14 13:58:38 | INFO    | apexnet.train | cnn_lstm epoch 06 loss=0.5669 acc=0.705 f1=0.631 auc=0.789 (n_eval_pairs=993)
2026-09-14 13:58:38 | INFO    | apexnet.train | cnn_lstm epoch 07 loss=0.5458 acc=0.714 f1=0.607 auc=0.799 (n_eval_pairs=993)
2026-09-14 13:58:39 | INFO    | apexnet.train | cnn_lstm epoch 08 loss=0.5354 acc=0.714 f1=0.621 auc=0.799 (n_eval_pairs=993)
2026-09-14 13:58:39 | INFO    | apexnet.train | cnn_lstm epoch 09 loss=0.5368 acc=0.721 f1=0.654 auc=0.799 (n_eval_pairs=993)
2026-09-14 13:58:40 | INFO    | apexnet.train | cnn_lstm epoch 10 loss=0.5311 acc=0.716 f1=0.631 auc=0.802 (n_eval_pairs=993)
2026-09-14 13:58:40 | INFO    | apexnet.train | training cnn_gat...
2026-09-14 13:58:41 | INFO    | apexnet.train | cnn_gat  epoch 01 loss=0.6466 acc=0.642 f1=0.387 auc=0.704 (n_eval_pairs=993)
2026-09-14 13:58:41 | INFO    | apexnet.train | cnn_gat  epoch 02 loss=0.5730 acc=0.707 f1=0.569 auc=0.781 (n_eval_pairs=993)
2026-09-14 13:58:42 | INFO    | apexnet.train | cnn_gat  epoch 03 loss=0.5349 acc=0.707 f1=0.575 auc=0.790 (n_eval_pairs=993)
2026-09-14 13:58:42 | INFO    | apexnet.train | cnn_gat  epoch 04 loss=0.5067 acc=0.724 f1=0.648 auc=0.808 (n_eval_pairs=993)
2026-09-14 13:58:43 | INFO    | apexnet.train | cnn_gat  epoch 05 loss=0.5018 acc=0.743 f1=0.658 auc=0.812 (n_eval_pairs=993)
2026-09-14 13:58:44 | INFO    | apexnet.train | cnn_gat  epoch 06 loss=0.4899 acc=0.750 f1=0.689 auc=0.813 (n_eval_pairs=993)
2026-09-14 13:58:44 | INFO    | apexnet.train | cnn_gat  epoch 07 loss=0.4836 acc=0.744 f1=0.661 auc=0.813 (n_eval_pairs=993)
2026-09-14 13:58:45 | INFO    | apexnet.train | cnn_gat  epoch 08 loss=0.4767 acc=0.738 f1=0.670 auc=0.821 (n_eval_pairs=993)
2026-09-14 13:58:46 | INFO    | apexnet.train | cnn_gat  epoch 09 loss=0.4786 acc=0.743 f1=0.661 auc=0.815 (n_eval_pairs=993)
